,Position,Player Name,Team Name,Player ID,BackNum,Foreign-Born Player,BirthDate,DebutYear,DebutTeam,Age,CareerYearAt23,Defense,BatPos,ThrowPos,Height(cm),Weight(kg),"SigningBonus(100M_KRW,USDtoKRW_1250)","Salary(100M_KRW,USDtoKRW_1250)",Season,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
0,타자,홍창기,LG,66108,51,False,1993-11-21,2016,LG,30,7,외야수,좌,우,189.0,94.0,0.8,5.1,2023,0.332,141,643,524,109,174,35,2,1,216,65,23,23,88,22,83,6,0.412,0.444,2
1,타자,안익훈,LG,65115,15,False,1996-02-12,2015,LG,28,8,외야수,좌,좌,176.0,76.0,1.2,0.55,2023,0.318,11,23,22,1,7,1,0,0,8,2,0,0,0,1,2,0,0.364,0.348,0
2,타자,오스틴,LG,53123,23,True,1993-10-14,2023,LG,30,10,내야수,우,우,183.0,97.0,1.25,10.0,2023,0.313,139,583,520,87,163,29,4,23,269,95,7,3,53,3,75,11,0.517,0.376,14
3,타자,문보경,LG,69102,2,False,2000-07-19,2021,LG,24,2,내야수,좌,우,182.0,88.0,0.8,3.0,2023,0.301,131,542,469,77,141,29,5,10,210,72,9,8,58,2,83,5,0.448,0.377,20
4,타자,문성주,LG,68119,8,False,1997-02-20,2018,LG,27,5,외야수,좌,좌,175.0,78.0,0.3,2.0,2023,0.294,136,534,449,77,132,21,4,2,167,57,24,14,67,8,34,10,0.372,0.392,3
5,타자,김현수,LG,76290,22,False,1988-01-12,2006,두산,36,17,외야수,좌,우,188.0,105.0,0.0,10.0,2023,0.293,133,556,488,53,143,22,2,6,187,88,2,1,58,1,53,10,0.383,0.364,2
6,타자,박해민,LG,62415,17,False,1990-02-24,2012,삼성,34,11,외야수,좌,우,180.0,75.0,0.0,6.0,2023,0.285,144,558,485,80,138,14,2,6,174,59,26,12,45,3,74,7,0.359,0.348,3
7,타자,신민재,LG,65207,4,False,1996-01-21,2019,LG,28,4,내야수,좌,우,171.0,67.0,0.0,1.15,2023,0.277,122,331,282,47,78,5,2,0,87,28,37,17,29,1,34,5,0.309,0.344,9
8,타자,오지환,LG,79109,10,False,1990-03-12,2009,LG,34,14,내야수,좌,우,185.0,80.0,2.8,3.0,2023,0.268,126,502,422,65,113,24,3,8,167,62,16,7,64,8,82,4,0.396,0.371,14
9,타자,박동원,LG,79365,27,False,1990-04-07,2009,히어로즈,34,14,포수,우,우,178.0,92.0,0.6,25.0,2023,0.249,130,481,409,54,102,17,1,20,181,75,0,1,49,7,90,7,0.443,0.334,8
